race,au_roc,accuracy,precision,recall
American_Indian_Alaska_Native,1.0,1.0,1.0,1.0
Asian,0.998890459743374,0.9850523168908819,0.9912280701754386,0.9797687861271677
Black,0.9775843298767088,0.9312743933480401,0.9062073669849932,0.9533548618586294
Multiple_Other,1.0,0.975,1.0,0.5
White,0.976943626771609,0.9252685837282631,0.8996048536559779,0.9594599634505651
